freq,statinfo,unit,isced11,life_sat,sex,age,geo,time,value
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Ireland,2024,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Ireland,2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Greece,2013,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Greece,2018,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Greece,2021,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Greece,2022,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Greece,2023,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Greece,2024,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Greece,2025,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Spain,2013,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Spain,2018,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Spain,2021,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Spain,2022,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Spain,2023,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Spain,2024,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Spain,2025,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,France,2013,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,France,2018,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,France,2021,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,France,2022,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,France,2023,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,France,2024,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,France,2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Croatia,2013,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Croatia,2018,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Croatia,2021,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Croatia,2022,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Croatia,2023,8.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Croatia,2024,8.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Croatia,2025,8.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Italy,2013,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Italy,2018,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Italy,2021,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Italy,2022,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Italy,2023,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Italy,2024,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Italy,2025,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Cyprus,2013,7.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Cyprus,2018,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Cyprus,2021,7.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Cyprus,2022,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Cyprus,2023,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Cyprus,2024,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Cyprus,2025,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Latvia,2013,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Latvia,2018,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Latvia,2021,7.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Latvia,2022,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Latvia,2023,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Latvia,2024,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Latvia,2025,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Lithuania,2013,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Lithuania,2018,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Lithuania,2021,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Lithuania,2022,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Lithuania,2023,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Lithuania,2024,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Lithuania,2025,8.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Luxembourg,2013,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Luxembourg,2018,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Luxembourg,2021,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Luxembourg,2022,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Luxembourg,2023,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Luxembourg,2024,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Luxembourg,2025,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Hungary,2013,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Hungary,2018,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Hungary,2021,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Hungary,2022,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Hungary,2023,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Hungary,2024,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Hungary,2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Malta,2013,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Malta,2018,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Malta,2021,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Malta,2022,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Malta,2023,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Malta,2024,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Malta,2025,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Netherlands,2013,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Netherlands,2018,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Netherlands,2021,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Netherlands,2022,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Netherlands,2023,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Netherlands,2024,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Netherlands,2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Austria,2013,8.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Austria,2018,8.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Austria,2021,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Austria,2022,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Austria,2023,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Austria,2024,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Austria,2025,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Poland,2013,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Poland,2018,8.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Poland,2021,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Poland,2022,8.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Poland,2023,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Poland,2024,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Poland,2025,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Portugal,2013,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Portugal,2018,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Portugal,2021,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Portugal,2022,7.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Portugal,2023,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Portugal,2024,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Portugal,2025,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Romania,2013,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Romania,2018,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Romania,2021,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Romania,2022,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Romania,2023,8.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Romania,2024,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Romania,2025,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovenia,2013,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovenia,2018,8.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovenia,2021,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovenia,2022,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovenia,2023,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovenia,2024,8.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovenia,2025,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovakia,2013,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovakia,2018,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovakia,2021,8.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovakia,2022,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovakia,2023,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovakia,2024,8.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Slovakia,2025,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Finland,2013,8.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Finland,2018,8.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Finland,2021,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Finland,2022,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Finland,2023,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Finland,2024,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Finland,2025,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Sweden,2013,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Sweden,2018,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Sweden,2021,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Sweden,2022,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Sweden,2023,7.5
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Sweden,2024,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Sweden,2025,7.7
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Iceland,2013,8.2
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Iceland,2018,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Iceland,2021,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Iceland,2022,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Iceland,2023,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Iceland,2024,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Iceland,2025,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Norway,2013,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Norway,2018,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Norway,2021,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Norway,2022,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Norway,2023,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Norway,2024,7.9
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Norway,2025,8.0
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Switzerland,2013,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Switzerland,2018,8.3
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Switzerland,2021,8.1
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Switzerland,2022,7.8
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Switzerland,2023,7.4
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Switzerland,2024,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,Switzerland,2025,
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,United Kingdom,2013,7.6
Annual,Average,Rating (0-10),All ISCED 2011 levels,Life as a whole,Total,From 16 to 19 years,United Kingdom,2018,7.7
